,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
0,0001,810,1234,955,2492,173,3,1,44,0,220,66
1,0003,882,1224,1203,2587,321,6,11,39,0,315,30
2,0007,653,809,711,1506,356,5,6,39,0,215,46
3,0008,1169,148,383,281,1204,2,9,21,0,169,14
4,001,1555,1026,1396,2533,773,21,25,153,0,448,24
5,0010,345,509,499,973,174,3,3,30,0,141,29
6,0011,750,1941,1454,3484,128,5,9,53,0,380,86
7,0012,233,953,580,1605,6,4,2,8,0,129,12
8,0013,795,2294,1615,3956,167,12,4,60,0,431,74
9,0014,456,1496,1005,2575,23,5,4,27,0,272,51
10,0015,681,1160,930,2106,305,7,3,25,0,265,60
11,0016,346,523,385,840,254,3,0,16,0,110,31
12,0017,346,995,566,1546,137,3,2,16,0,183,20
13,0018,365,789,548,1432,74,6,5,18,0,151,16
14,0019,366,1137,655,1913,25,0,5,18,0,175,22
15,002,2596,1255,2122,3712,1304,14,35,192,0,633,83
16,0020,522,1778,1084,2867,117,5,3,18,0,333,41
17,0021,531,1350,853,2437,22,1,1,23,0,225,25
18,0022,801,1865,1068,3084,173,8,3,42,0,373,51
19,0023,356,1646,876,2431,41,10,3,26,0,360,7
20,0024,1008,3087,1890,4914,105,5,5,66,0,846,44
21,0025,387,1888,905,2619,29,3,4,25,1,498,1
22,0026,339,836,485,1421,70,1,3,11,0,129,25
23,0027,566,1126,727,1970,180,6,3,8,0,246,6
24,0028,517,540,420,998,315,2,1,19,0,136,6
25,0029-A,204,497,428,980,37,0,3,8,0,88,13
26,0029-B,270,434,381,972,9,3,1,8,0,86,6
27,003,2709,599,1162,1228,2392,8,41,221,0,516,64
28,0031,846,423,658,1290,349,7,14,67,0,192,8
29,0034,637,523,754,1498,140,1,8,47,0,209,11
30,0035,588,342,506,995,197,4,7,60,0,167,6
31,0036,459,725,669,1611,38,0,2,32,0,148,22
32,0038,658,751,777,1701,176,6,6,77,0,178,42
33,0039,599,500,650,1277,215,9,12,65,0,147,24
34,004,2599,554,1186,1276,2133,18,34,324,0,475,79
35,0040,476,607,617,1383,108,1,3,49,0,135,21
36,0047-A,754,570,626,1389,376,5,9,26,0,132,13
37,0047-B,436,458,451,1040,155,3,3,23,0,113,8
38,0048,608,709,681,1692,109,3,2,48,0,131,13
39,005,2655,1532,1916,3055,1918,17,42,298,1,710,62
40,0051,922,1201,1202,2595,256,3,8,70,0,308,85
41,0052,378,526,442,1015,117,3,4,26,0,128,53
42,0053,494,888,807,1900,15,0,5,33,0,212,24
43,006,2586,1271,1566,2262,2201,19,50,224,0,577,90
44,0062,215,308,278,721,20,1,1,5,0,51,2
45,0064,170,299,294,702,2,1,2,4,0,49,3
46,0065,252,438,404,975,9,0,1,10,0,85,14
47,0066,542,820,656,1601,179,3,4,31,0,176,24
