,Name,DEM,REP,OTHER,W,B,I,M,O,P,U,A,HL,NL,UN
0,001,614,195,398,369,462,7,17,128,0,217,7,205,707,295
1,002,813,360,432,710,599,4,10,106,0,176,0,154,1132,319
2,003,530,304,351,588,341,1,12,78,0,161,4,125,796,264
3,004,811,149,313,241,689,4,12,146,0,176,5,222,786,265
4,005,923,1229,1165,2213,422,9,26,194,0,426,27,248,2333,736
5,006,344,918,510,1368,122,7,7,73,0,184,11,73,1369,330
6,007,964,1345,1139,2332,560,7,11,163,0,367,8,223,2546,679
7,008,1142,540,891,1019,941,5,21,97,0,480,10,141,1679,753
8,009,813,285,333,492,712,3,7,37,0,175,5,56,1044,331
9,01,3604,1238,1651,2725,2868,147,36,100,1,584,32,129,4447,1917
10,01-02,687,1293,1120,2209,307,7,12,68,0,459,38,98,2015,987
11,01-04,1831,1745,2278,3262,1189,18,28,199,0,903,255,136,3649,2069
12,01-07,566,1170,924,1901,304,5,14,73,0,272,91,51,1898,711
13,01-08,1732,1435,1903,2704,1209,19,35,176,0,857,70,240,3043,1787
14,01-10,791,1026,1129,1986,401,9,13,99,0,392,46,77,1963,906
15,01-11,1343,1634,1751,3049,712,18,34,136,0,579,200,116,3177,1435
16,01.1,1278,189,894,1595,376,6,24,50,0,297,13,55,1359,947
17,010,630,204,368,536,467,1,9,76,0,108,5,95,850,257
18,011,1776,3346,2391,5589,879,15,23,145,0,803,59,212,5532,1769
19,012,799,2765,1506,4361,148,8,13,72,0,451,17,110,3912,1048
20,013,1430,3183,2145,5205,638,7,32,125,0,706,45,161,5052,1545
21,014,879,1578,1266,2841,278,11,16,92,1,452,32,144,2576,1003
22,015,1985,2887,2779,5247,803,21,42,223,2,1161,152,268,5142,2241
23,016,1262,2220,1920,3838,543,12,32,145,0,765,67,209,3799,1394
24,017A,662,1331,1163,2320,278,7,19,97,0,403,32,135,2336,685
25,017B,904,2077,1882,3537,378,14,25,154,0,577,178,147,3565,1151
26,018,511,1439,1179,2359,105,14,10,82,0,465,94,55,2273,801
27,019,1311,2731,2220,4583,604,8,34,171,1,772,89,209,4629,1424
28,02,4490,2330,3443,5330,2490,369,151,192,1,1382,348,294,6810,3159
29,02-01,979,1224,1123,2095,539,5,12,94,0,533,48,141,2069,1116
30,02-02,1420,1527,1716,2749,925,12,35,177,0,690,75,261,2881,1521
31,02-03,1855,2251,2417,4092,1203,8,31,207,0,899,83,238,4124,2161
32,02-05,1284,1707,1571,3045,729,13,20,122,0,553,80,138,3061,1363
33,02-06,1453,973,1440,1897,1121,4,26,152,0,625,41,218,2334,1314
34,02-07,895,1439,1239,2558,390,7,12,57,0,493,56,71,2393,1109
35,02-08,2289,2131,2969,4144,1396,20,52,267,0,1159,351,306,4485,2598
36,02-09,2394,1923,3309,3756,1515,50,59,327,0,1346,573,288,4352,2986
37,02.1,1933,147,1253,2198,598,3,34,64,2,420,14,64,1920,1349
38,020A,1504,2199,2200,4037,607,13,22,161,0,983,80,227,4033,1643
39,020B,859,2133,1835,3911,208,10,23,115,0,479,81,114,3710,1003
40,021,1038,3099,1998,5206,276,13,14,75,0,538,13,103,4669,1363
41,022,311,1446,935,2293,70,6,9,40,0,256,18,39,2198,455
42,023,469,879,741,1618,203,6,8,67,0,179,8,65,1630,394
43,024,442,1158,748,1985,135,3,8,45,0,167,5,41,1919,388
44,025,477,907,581,1517,196,10,12,50,0,170,10,64,1545,356
45,026,454,939,548,1528,186,8,7,46,0,162,4,57,1562,322
46,027,372,907,511,1452,161,6,7,32,1,127,4,28,1465,297
47,028A,1050,2306,2203,3844,400,22,27,218,0,699,349,148,3985,1426
48,028B,701,1670,1805,2943,166,26,15,165,0,543,318,107,2942,1127
49,028C,653,1592,1557,2832,211,14,13,106,0,452,174,76,2708,1018
50,028D,1087,1882,2092,3507,428,11,20,218,0,670,207,205,3557,1299
51,029A,1505,1583,1840,3020,714,3,58,308,0,739,86,364,3343,1221
52,029B,397,685,617,1257,154,5,12,53,0,192,26,50,1258,391
53,029C,572,1086,932,1895,208,5,14,71,0,353,44,82,1846,662
54,03,3987,2313,3064,6172,1377,154,89,199,0,1128,245,244,6394,2726
55,03-00,1333,2354,2156,4073,636,9,30,123,0,852,120,138,3760,1945
56,03.1,1307,100,1026,1934,145,3,26,41,1,274,9,50,1486,897
57,030,1287,1859,1556,3170,679,7,27,220,0,548,51,262,3432,1008
58,031,1670,2164,1978,3759,992,12,32,213,0,761,43,297,4048,1467
59,032,1548,2841,1896,4574,757,9,20,134,0,742,49,156,4506,1623
60,033,1732,1719,1609,3063,1248,12,34,117,0,571,15,183,3594,1283
61,034,1405,2641,1767,4199,779,14,32,132,0,630,27,185,4322,1306
62,035,365,865,691,1574,57,3,5,32,0,235,15,33,1440,448
63,036,575,903,516,1457,316,5,7,52,0,152,5,60,1593,341
64,037A,1421,2059,2105,3669,612,18,30,228,1,883,144,263,3733,1589
65,037B,238,774,498,1243,60,3,5,27,0,150,22,14,1118,378
66,038A,1091,1371,1345,2345,512,10,19,256,0,617,48,312,2506,989
67,038B,533,1017,951,1807,182,11,14,85,0,375,27,122,1737,642
68,039,425,1290,764,1906,191,3,5,58,0,299,17,86,1869,524
69,04,3622,2954,3000,6562,1641,177,57,172,0,888,79,163,7006,2407
70,04-01,1153,849,964,1606,854,6,17,67,0,395,21,113,1936,917
71,04-03,1017,940,828,1597,747,7,16,57,1,346,14,115,1833,837
72,04-08,488,604,591,1078,304,5,3,46,0,236,11,64,1061,558
73,04-09,930,1503,1144,2393,582,5,14,55,1,499,28,89,2373,1115
74,04-11,1198,929,1061,1802,787,10,23,106,1,445,14,175,1970,1043
75,04-12,2038,1209,1622,2277,1639,7,39,155,2,716,34,278,2934,1657
76,04-13,1538,2146,1814,3802,830,9,30,124,1,657,45,207,3750,1541
77,04.1,771,118,591,1257,45,0,8,17,0,145,8,21,1001,458
78,040,761,1650,1444,2967,238,5,16,100,0,441,88,94,2909,852
79,041,721,2011,1729,3240,256,17,21,131,0,568,228,89,3189,1183
80,042,2122,1908,1872,3309,1433,22,43,225,1,824,45,361,3920,1621
81,043,1758,977,1271,1807,1323,14,21,238,1,590,12,478,2490,1038
82,05,5251,2569,4473,6105,2479,215,279,299,2,1798,1116,520,8020,3753
83,05-00,506,1394,874,2273,152,5,10,34,0,280,20,38,2038,698
84,05.1,1269,362,1038,2386,27,3,15,35,1,186,16,29,1832,808
85,051,833,1222,1108,2415,275,5,13,70,0,334,51,92,2332,739
86,052,302,514,431,1089,42,0,5,13,0,88,10,16,965,266
87,053,557,1219,925,2136,177,5,8,67,0,277,31,71,1946,684
88,054,639,1087,900,2201,122,1,8,47,0,225,22,39,2048,539
89,055,918,1573,1327,2922,252,11,21,125,0,368,119,93,2857,868
90,06,3501,1736,2413,4393,1923,247,49,172,2,768,96,186,5248,2216
91,06-00,269,1163,618,1837,26,4,4,21,0,147,11,34,1627,389
92,06.1,735,201,542,1195,74,3,19,43,0,139,5,29,1005,444
